Brand,Fuel Type,Transmission,Condition,Price,Model,Engine_scaled,Mileage_scaled,Age_scaled
5,3,1,1,26613.92,19,-0.813847702998764,-0.3972344121773753,-0.6256095964138477
1,1,1,2,14679.61,1,0.6528717507596082,-0.07462648705921304,-0.9117202688797068
0,1,1,1,44402.61,3,0.7227155342719114,0.36234696000030214,-0.196443587715059
5,0,0,1,86374.33,20,0.4433404002226975,-0.9222487201047042,0.08966708475080017
2,0,1,0,73577.1,21,-0.6043163524618534,0.8334150523655206,0.3757777572166593
0,0,0,0,88969.76,24,-0.7440039194864605,1.1012576713436577,-1.0547756051126365
0,1,0,2,63498.75,23,0.3734966167103943,-0.16226917889609585,-1.197830941345566
5,2,0,1,17381.19,20,1.2814658023703387,-0.7590221699391285,-0.7686649326467773
3,1,1,0,15905.62,8,1.5608409364195526,-0.33434645780636185,-1.6269969500443546
2,1,0,0,9560.22,11,-1.3725979710971912,-0.16769565397478134,0.23272242098372975
5,0,0,0,58872.6,17,-1.1630666205602809,1.6964862438111268,1.520220447080096
2,1,0,2,28074.19,21,1.5608409364195526,0.2273790347727869,-0.7686649326467773
2,3,0,1,74766.45,12,0.8624031012965183,-0.4026040059659279,0.804943765915448
0,1,0,0,70193.74,24,1.3513095858826425,1.29853336178283,-1.6269969500443546
1,1,0,1,35220.52,26,-1.0233790535356742,-0.9639313295141458,-0.33949892394798853
2,1,0,2,21796.16,21,0.30365283319809083,1.0369931897514264,0.23272242098372975
4,1,0,1,14728.03,15,0.7227155342719114,-0.14712737946269877,-0.7686649326467773
0,2,0,0,75044.95,2,0.6528717507596082,0.48978380241421193,-1.4839416138114252
3,1,0,1,47791.89,8,-0.3249412184126399,-0.7140404457019746,0.08966708475080017
1,3,0,1,35735.34,27,-1.6519731051464048,1.6022908273509258,0.9479991021483776
4,3,0,2,86382.04,5,0.30365283319809083,0.48756543209902603,-1.0547756051126365
4,1,1,2,61393.26,10,-0.813847702998764,-1.5653713388641353,-1.4839416138114252
3,0,1,1,54210.22,6,-0.11540986787572974,1.4311350253408137,-0.05338825148212941
1,2,0,1,75621.02,27,1.6306847199318557,0.01254977819857938,-1.0547756051126365
0,1,0,1,82480.4,23,-0.3249412184126399,0.44070662528748394,-0.4825542601809181
6,1,0,2,70176.95,7,1.2116220188580356,-1.4951229455499153,-0.7686649326467773
1,1,1,2,46800.6,26,-1.0932228370479775,0.5688829244731224,0.3757777572166593
3,0,1,1,41033.39,4,0.6528717507596082,0.6233183191303763,-1.4839416138114252
4,0,1,2,78308.17,16,1.7005285034441595,-1.5025857708153612,0.6618884296825185
0,0,0,0,54201.18,2,-1.3725979710971912,0.6608030893280047,-0.7686649326467773
1,2,0,2,71916.68,27,-1.7218168886587082,-0.1915175382824699,-1.197830941345566
6,3,0,2,89587.88,9,-0.1852536513880329,0.5339009310413448,1.6632757833130254
6,2,0,2,92009.61,9,-1.3725979710971912,-1.125542451039945,-1.4839416138114252
2,0,1,0,31382.99,12,0.8624031012965183,1.4613162378853686,0.6618884296825185
2,3,0,0,22849.55,21,1.4909971529072488,1.1730304832334415,0.9479991021483776
5,3,1,0,29822.3,17,-0.1852536513880329,0.2513033054027148,1.0910544383813072
3,0,1,1,76380.32,13,-0.813847702998764,-1.4146928013018933,-0.33949892394798853
1,0,0,1,40155.51,1,-0.1852536513880329,1.508448074889549,-1.3408862775784955
1,2,1,0,21471.98,26,0.7925593177842146,0.9096132286276495,-0.33949892394798853
5,0,1,1,14346.62,19,-1.7218168886587082,1.108401961384359,1.520220447080096
4,3,1,1,36094.75,10,0.30365283319809083,0.6185289145011801,1.6632757833130254
4,1,1,1,17932.96,15,0.4433404002226975,0.8542336045541882,-1.4839416138114252
5,0,0,0,19855.49,20,0.5131841837350013,0.7978414935163601,-1.4839416138114252
4,0,0,2,69968.98,5,-0.8836914865110671,-0.5291648765117899,0.23272242098372975
2,2,1,0,6874.55,11,0.7925593177842146,-1.1858593710969483,0.3757777572166593
1,2,0,0,16167.56,1,-1.3725979710971912,-0.7031078617384173,-0.7686649326467773
5,0,1,1,85214.72,18,-1.0233790535356742,1.0585853274859023,-0.7686649326467773
1,3,0,1,85266.84,27,1.3513095858826425,1.1423828441097963,-0.6256095964138477
6,3,0,2,36278.13,22,0.8624031012965183,-1.6708178745126383,0.6618884296825185
2,1,0,2,13355.54,11,-1.6519731051464048,-0.43104465103241374,-0.33949892394798853
0,0,0,2,71972.18,23,-0.8836914865110671,0.1895871056084405,0.6618884296825185
2,2,0,2,39212.51,21,-0.9535352700233706,-0.11401109234728266,-0.6256095964138477
5,3,1,0,9319.14,18,-0.7440039194864605,1.3439360075669682,0.08966708475080017
0,1,0,2,19993.56,3,-0.8836914865110671,-0.022944146844394962,0.6618884296825185
6,0,1,0,18035.41,7,-1.512285538121798,1.6050097530192817,-0.196443587715059
5,3,1,1,60966.05,18,-0.11540986787572974,1.652141590023462,1.2341097746142367
3,0,0,2,90321.17,6,0.8624031012965183,-0.5367755931315815,1.6632757833130254
1,0,1,1,80341.84,1,0.3734966167103943,-0.8931482520726758,1.6632757833130254
6,3,0,1,56919.02,22,0.6528717507596082,-0.4874936433603748,-0.9117202688797068
1,3,1,0,45104.74,0,-1.4424417546094945,0.6775034361110451,-0.4825542601809181
4,3,1,2,63774.29,16,1.6306847199318557,-0.7875538250698272,-0.196443587715059
3,0,0,0,47162.21,4,1.2116220188580356,-0.04821081592146099,-1.197830941345566
3,0,0,1,28379.42,6,1.0719344518334284,-0.3486009091136845,-0.4825542601809181
6,1,0,2,69523.76,7,1.1417782353457318,-1.4480593660938945,1.0910544383813072
3,2,0,1,87958.17,13,1.5608409364195526,1.4813612045282278,0.5188330934495888
0,0,1,1,40422.68,3,0.16396526617348417,-0.646863642054935,1.520220447080096
3,2,0,2,84946.15,6,-1.0233790535356742,-0.6916519699056368,-0.7686649326467773
1,3,1,2,45952.79,26,0.4433404002226975,0.4988051750293013,0.9479991021483776
1,0,1,2,43126.91,1,0.8624031012965183,0.31574980712337175,0.5188330934495888
5,1,1,0,7690.81,19,0.8624031012965183,0.8171128746134109,1.6632757833130254
1,1,1,0,71051.5,1,0.0941214826611807,0.7922785033413554,0.5188330934495888
5,2,1,1,81712.74,18,-1.512285538121798,1.4300542808282874,-0.4825542601809181
1,3,1,2,68037.91,27,-0.39478500192494337,1.1869322705419396,-0.05338825148212941
0,2,0,1,19379.29,2,1.4909971529072488,-0.23075425221619378,0.5188330934495888
5,3,1,1,14812.88,18,0.30365283319809083,-1.356264340077305,-1.197830941345566
2,1,1,1,59421.58,12,0.16396526617348417,-1.5376360217952985,-0.05338825148212941
4,2,1,1,43144.04,16,-0.813847702998764,-0.07164590745624533,0.5188330934495888
6,1,0,1,45764.29,25,-0.46462878543724684,0.27265654171863235,0.23272242098372975
1,1,0,2,96941.02,27,1.4211533693949456,0.1385532121011383,1.2341097746142367
3,3,1,0,73772.65,13,0.5830279672473044,-1.4566029358718668,1.520220447080096
1,2,0,2,44119.84,1,1.0020906683211253,-0.15449919466393192,0.9479991021483776
3,2,1,2,6814.43,6,-0.11540986787572974,0.11052211232360984,-0.196443587715059
4,1,0,2,8239.09,16,0.5131841837350013,1.5297671824313868,1.2341097746142367
4,1,1,0,70056.35,10,-0.8836914865110671,0.12103377474018301,0.9479991021483776
4,3,0,0,84585.18,16,0.7227155342719114,-1.0383093044920195,-0.9117202688797068
3,0,0,0,72231.75,13,-0.2550974349003364,1.3587592717756205,0.9479991021483776
1,0,0,2,43559.34,26,-0.1852536513880329,1.143986896491546,1.520220447080096
4,1,1,0,7957.9,5,0.5131841837350013,-1.072369821023643,-0.7686649326467773
0,0,1,1,96903.15,2,1.5608409364195526,-1.0760557286242596,-0.05338825148212941
5,0,1,0,98701.93,18,-1.512285538121798,0.6895053883291021,0.5188330934495888
3,0,0,2,57189.63,6,1.1417782353457318,-1.3636475315365646,-1.4839416138114252
3,0,0,2,11713.74,6,-0.6741601359741569,-1.0883875923250879,-0.9117202688797068
1,1,1,1,56392.39,0,-0.1852536513880329,1.0116923919002805,-0.05338825148212941
3,0,0,0,89772.15,6,-1.6519731051464048,-0.46665233865565403,0.23272242098372975
3,0,1,0,69598.62,13,-0.6741601359741569,0.2860919024480403,1.6632757833130254
4,3,1,1,73398.98,5,0.02427769914887722,-0.5780486572520658,-1.6269969500443546
1,1,1,2,13072.13,1,-1.512285538121798,-0.3575654004386409,-1.3408862775784955
4,2,1,2,15118.61,10,0.02427769914887722,-1.333375308927797,0.804943765915448
5,2,0,0,17098.13,17,1.4909971529072488,-0.2897629026001386,-1.197830941345566
5,3,0,0,90915.8,17,-1.3725979710971912,-1.3695631857103936,-0.33949892394798853
4,3,0,0,54955.72,15,0.9322468848088216,0.1031616733804033,1.6632757833130254
5,1,1,0,80199.63,18,-0.3249412184126399,1.0576638505857483,0.08966708475080017
1,2,0,0,15952.67,27,0.5830279672473044,0.17609486358889961,0.804943765915448
